N°POSTE,Nb Postes Vacants,Quotité,TYPE,SIGLE,NOM,ADRESSE,COMMUNE,SUPPORT,DISCIPLINE,CIRCONSCRIPTION
       1847,   ,100,E,E.P.PU,                              ,2 GRAND PLACE                   ,HONNECHY                  ,2584,G0000,CAMBRAI-SUD                   
       1848,   ,100,E,E.P.PU,AIME DEWITTE (RPI 23)         ,31 RUE DES MARTYRS              ,HOUDAIN LEZ BAVAY         ,2584,G0000,AVESNES-LE QUESNOY            
       1849,   ,100,E,E.M.PU,DU BOURG                      ,3 RUE ANATOLE MUSY              ,HOUPLINES                 ,2584,G0000,LILLE2-ARMENTIERES            
       1850,   ,100,E,E.P.PU,JEAN MONNET                   ,RUE DE LA MAIRIE                ,ILLIES                    ,2584,G0000,LILLE2-ANNOEULLIN             
       1851,   ,100,E,E.P.PU,                              ,3 BIS RUE FRIQUET               ,JENLAIN                   ,2584,G0000,AVESNES-LE QUESNOY            
       1852,   ,100,E,E.M.PU,JEAN DE LA FONTAINE           ,500 RUE MARX DORMOY             ,JEUMONT                   ,2584,G0000,AVESNES-JEUMONT               
       1853,   ,100,E,E.E.PU,ALBERT SAMAIN NIVEAU 2        ,28 PLACE DE LA REPUBLIQUE       ,LAMBERSART                ,2584,G0000,LILLE 1 - LAMBERSART          
       1854,   ,100,E,E.E.PU,WATTEAU NIVEAU 1              ,6 RUE KLEBER                    ,LAMBERSART                ,2584,G0000,LILLE 1 - LAMBERSART          
       1855,   ,100,E,E.E.PU,PASTEUR                       ,7 RUE GUSTAVE NADAUD            ,LAMBERSART                ,2584,G0000,LILLE 1 - LAMBERSART          
       1856,   ,100,E,E.M.PU,LA FONTAINE                   ,PLACE DE LA REPUBLIQUE          ,LAMBERSART                ,2584,G0000,LILLE 1 - LAMBERSART          
       1857,   ,100,E,E.E.PU,EMILIENNE BONNAIRE            ,12 BOULEVARD DES RESISTANTS     ,LANDRECIES                ,2584,G0000,AVESNES AULNOYE               
       1858,   ,100,E,E.M.PU,EMILIENNE BONNAIRE            ,RUE DE BOURGOGNE                ,LANDRECIES                ,2584,G0000,AVESNES AULNOYE               
       1859,   1.00,100,E,E.P.PU,CENTRE                        ,PLACE DU 8 MAI 1945             ,LECELLES                  ,2584,G0000,VALENCIENNES-SAINT AMAND      
       1860,   ,100,E,E.E.PU,JEAN MERMOZ NIVEAU 2          ,26 RUE D IENA                   ,LESQUIN                   ,2584,G0000,LILLE3-RONCHIN                
       1861,   ,100,E,E.E.PU,PASTEUR NIVEAU 1              ,10 RUE PASTEUR                  ,LESQUIN                   ,2584,G0000,LILLE3-RONCHIN                
       1862,   ,100,E,E.P.PU,MARTHA DESRUMAUX              ,56 RUE ROGER MARTIN             ,LEVAL                     ,2584,G0000,AVESNES AULNOYE               
       1863,   ,100,E,E.E.PU,VIALA-VOLTAIRE                ,5 RUE VIALA                     ,LILLE                     ,2584,G0000,LILLE 1 - CENTRE              
       1864,   ,100,E,E.E.PU,PASTEUR                       ,246 RUE SOLFERINO               ,LILLE                     ,2584,G0000,LILLE 1 - CENTRE              
       1865,   ,100,E,E.M.PU,PAULINE KERGOMARD             ,33 BOULEVARD DE BELFORT         ,LILLE                     ,2584,G0000,LILLE 1 - NORD                
       1866,   ,100,E,E.M.PU,JEANNE GODART                 ,2 RUE PAUL BARDOU               ,LILLE                     ,2584,G0000,LILLE 1 - SUD                 
       1867,   ,100,E,E.M.PU,LA BRUYERE                    ,362 RUE DE LA PREVOYANCE        ,LILLE                     ,2584,G0000,LILLE 1 - SUD                 
       1868,   ,100,E,E.M.PU,MOZART                        ,1 PARVIS SAINT MICHEL           ,LILLE                     ,2584,G0000,LILLE 1 - CENTRE              
       1869,   ,100,E,E.E.A.,SOPHIE GERMAIN NIVEAU 2       ,95 BOULEVARD DE LA LIBERTE      ,LILLE                     ,2584,G0000,LILLE 1 - NORD                
       1870,   ,100,E,E.P.PU,MME DE MAINTENON-CHATEAUBRIAND,20 BIS RUE DU PORT              ,LILLE                     ,2584,G0000,LILLE 1 - NORD                
       1871,   ,100,E,E.M.PU,OVIDE DECROLY                 ,29 RUE LITTRE                   ,LILLE                     ,2584,G0000,LILLE 1 - CENTRE              
