N°POSTE,Nb Postes Vacants,Quotité,TYPE,SIGLE,NOM,ADRESSE,COMMUNE,SUPPORT,DISCIPLINE,CIRCONSCRIPTION,OBSERVATIONS (POSTE BLOQUE OU JUMELAGE DU POSTE)
          1,   ,100,E,E.E.PU,HENRI MATISSE (RPI 22)        ,4 ROUTE NATIONALE               ,AUBENCHEUL AU BAC         ,0119,P0001,CAMBRAI-CENTRE                ,           
          2,   1.00,100,E,E.E.PU,NIVEAU 2 (RPI 3)              ,81 GRAND RUE                    ,BANTOUZELLE               ,0119,P0001,CAMBRAI-SUD                   ,           
          3,   1.00,100,E,E.E.PU,NIVEAU 2 (RPI 17)             ,RUE DE L ECOLE                  ,BLECOURT                  ,0119,P0001,CAMBRAI-CENTRE                ,           
          4,   ,100,E,E.E.PU,(RPI 14)                      ,11 RUE DE LA MAIRIE             ,BOULOGNE SUR HELPE        ,0119,P0001,AVESNES-FOURMIES              ,           
          5,   1.00,100,E,E.E.PU,NIVEAU 2 (RPI 2)              ,16 TER ROUTE NATIONALE          ,BOURSIES                  ,0119,P0001,CAMBRAI-SUD                   ,           
          6,   ,100,E,E.E.PU,J.DE COURTRAI NIV.2 (RPI 11)  ,1 RUE DE LA PLACE               ,DIMECHAUX                 ,0119,P0001,AVESNES-JEUMONT               ,           
          7,   1.00,100,E,E.P.PU,                              ,HEER STRAETE                    ,DRINCHAM                  ,0119,P0001,DUNKERQUE-WORMHOUT            ,           
          8,   1.00,100,E,E.P.PU,AUGUSTE HANON                 ,5 RUE DE LA FONTAINE            ,EPPE SAUVAGE              ,0119,P0001,AVESNES-JEUMONT               ,           
          9,   ,100,E,E.E.PU,NIVEAU 2 (RPI 19)             ,14 LA PLACE                     ,OXELAERE                  ,0119,P0001,DUNKERQUE-WORMHOUT            ,           
         10,   1.00,100,E,E.E.PU,NIVEAU 2 (RPI 1)              ,RUE DES ECOLES                  ,GONNELIEU                 ,0119,P0001,CAMBRAI-SUD                   ,           
         11,   ,100,E,E.E.PU,(RPI 19)                      ,7 LA PLACE                      ,HARDIFORT                 ,0119,P0001,DUNKERQUE-WORMHOUT            ,           
         12,   ,100,E,E.E.PU,(RPI 17)                      ,17 RUE DE BOURLON               ,HAYNECOURT                ,0119,P0001,CAMBRAI-CENTRE                ,           
         13,   ,100,E,E.E.PU,(RPI 13)                      ,59 GRAND RUE                    ,NIERGNIES                 ,0119,P0001,CAMBRAI-CENTRE                ,           
         14,   ,100,E,E.E.PU,NIVEAU 1 (RPI 16)             ,2 BIS RUE DE L ECOLE            ,NOYELLES SUR SAMBRE       ,0119,P0001,AVESNES AULNOYE               ,           
         15,   ,100,E,E.E.PU,(RPI 7)                       ,80 RUE DE LA MAIRIE             ,OCHTEZEELE                ,0119,P0001,DUNKERQUE-WORMHOUT            ,           
         16,   ,100,E,E.E.PU,(RPI 9)                       ,18 GRAND RUE                    ,SALESCHES                 ,0119,P0001,AVESNES-LE QUESNOY            ,           
         17,   ,100,E,E.E.PU,MIXTE (RPI 17)                ,20 RUE D'AMERIQUE               ,SANCOURT                  ,0119,P0001,CAMBRAI-CENTRE                ,           
         18,   ,100,E,E.E.PU,CENTRE (RPI 29)               ,28 RUE DE LA MAIRIE             ,SEMERIES                  ,0119,P0001,AVESNES-FOURMIES              ,           
         19,   ,100,E,E.E.PU,NIVEAU 2 (RPI 13)             ,67 GRAND RUE                    ,SERANVILLERS FORENVILLE   ,0119,P0001,CAMBRAI-CENTRE                ,           
         20,   1.00,100,E,E.E.PU,(RPI 9)                       ,6 RUE DE L'EGLISE               ,VENDEGIES AU BOIS         ,0119,P0001,AVESNES-LE QUESNOY            ,           
         21,   1.00,100,E,E.E.PU,NIVEAU 2 (RPI 11)             ,RUE DES ECOLES                  ,WATTIGNIES LA VICTOIRE    ,0119,P0001,AVESNES-JEUMONT               ,           
         22,   ,100,E,E.P.PU,HENRI MATISSE                 ,18 RUE DE WASNES                ,WAVRECHAIN SOUS FAULX     ,0119,P0001,VALENCIENNES-ESCAUDAIN        ,           
         23,   ,100,E,E.E.PU,PIERRE DUEZ (RPI 14)          ,2 ROUTE DE BOULOGNE             ,HAUT LIEU                 ,0119,P0001,AVESNES-FOURMIES              ,           
         24,   ,100,E,E.P.PU,CHAUFFOUR (RPI 29)            ,RUE DES ECOLES                  ,FLAUMONT WAUDRECHIES      ,0119,P0002,AVESNES-FOURMIES              ,           
         25,   ,100,E,E.P.PU,ALBERT FAVRESSE               ,186 RUE SAINTE CATHERINE        ,LEFFRINCKOUCKE            ,0119,P0002,DUNKERQUE-CENTRE              ,           
         26,   ,100,E,E.E.PU,                              ,2 LA PLACE                      ,AIBES                     ,0119,P0002,AVESNES-JEUMONT               ,           
         27,   ,100,E,E.P.PU,LES PETITS CAILLOUX           ,HAMEAU LE STEENT'JE             ,BAILLEUL                  ,0119,P0002,DUNKERQUE-BAILLEUL            ,           
         28,   ,100,E,E.P.PU,NIVEAU 1 (RPI 3)              ,RUE DU MILIEU                   ,BANTEUX                   ,0119,P0002,CAMBRAI-SUD                   ,           
         29,   ,100,E,E.E.PU,NIVEAU 2                      ,3 RUELLE MAILLY                 ,BEAUFORT                  ,0119,P0002,AVESNES AULNOYE               ,           
         30,   1.00,100,E,E.P.PU,NIVEAU 1                      ,36 RUE PASTEUR                  ,BEAUFORT                  ,0119,P0002,AVESNES AULNOYE               ,           
         31,   ,100,E,E.E.PU,NIVEAU 2 (RPI 20)             ,2 ALLEE DE L'EGLISE             ,BEAUREPAIRE SUR SAMBRE    ,0119,P0002,AVESNES AULNOYE               ,           
         32,   ,100,E,E.E.PU,(RPI 5)                       ,1 RUE GANTOIS                   ,BERMERIES                 ,0119,P0002,AVESNES-LE QUESNOY            ,           
         33,   ,100,E,E.P.PU,EVARISTE VANDEWALLE           ,138 GRAND RUE                   ,BERTHEN                   ,0119,P0002,DUNKERQUE-BAILLEUL            ,           
         34,   ,100,E,E.P.PU,                              ,181 RUE DU BOIS                 ,BOUSIGNIES                ,0119,P0002,VALENCIENNES-SAINT AMAND      ,           
         35,   1.00,100,E,E.P.PU,CALMETTE                      ,1 RUE PITON                     ,BOUSSIERES EN CAMBRESIS   ,0119,P0002,CAMBRAI-LE CATEAU             ,           
         36,   ,100,E,E.P.PU,                              ,LA PLACE                        ,BROXEELE                  ,0119,P0002,DUNKERQUE-WORMHOUT            ,           
         37,   ,100,E,E.P.PU,(RPI 7)                       ,156 LA PLACE                    ,BUYSSCHEURE               ,0119,P0002,DUNKERQUE-WORMHOUT            ,           
         38,   ,100,E,E.P.PU,DU BOUTON D'OR                ,GRAND PLACE                     ,CAGNONCLES                ,0119,P0002,CAMBRAI-CENTRE                ,           
         39,   ,100,E,E.E.PU,CLAIR MATIN                   ,86 ROUTE NATIONALE              ,CERFONTAINE               ,0119,P0002,AVESNES-JEUMONT               ,           
         40,   ,100,E,E.E.PU,WEZ MACQUART                  ,1956 ROUTE NATIONALE            ,LA CHAPELLE D ARMENTIERES ,0119,P0002,LILLE2-ARMENTIERES            ,           
         41,   ,100,E,E.E.PU,NIVEAU 1 (RPI 2)              ,4 PLACE DE LA MAIRIE            ,DOIGNIES                  ,0119,P0002,CAMBRAI-SUD                   ,           
         42,   ,100,E,E.P.PU,                              ,2 CHEMIN MARGOT                 ,ECLAIBES                  ,0119,P0002,AVESNES AULNOYE               ,           
         43,   ,100,E,E.P.PU,                              ,724 R NATIONALE                 ,PRADELLES                 ,0119,P0002,DUNKERQUE-HAZEBROUCK          ,           
         44,   ,100,E,E.P.PU,CELESTIN FREINET              ,5 RUE DE L EGLISE               ,ESTOURMEL                 ,0119,P0002,CAMBRAI-CENTRE                ,           
         45,   ,100,E,E.E.PU,(RPI 27)                      ,1 PLACE DE LA MAIRIE            ,ESWARS                    ,0119,P0002,CAMBRAI-LE CATEAU             ,           
         46,   ,100,E,E.P.PU,                              ,RUE DU GENERAL DE GAULLE        ,FOREST EN CAMBRESIS       ,0119,P0002,CAMBRAI-LE CATEAU             ,           
         47,   1.00,100,E,E.P.PU,RENE QUINCHON                 ,PLACE EMILE BIGORNE             ,FRASNOY                   ,0119,P0002,AVESNES-LE QUESNOY            ,           
         48,   ,100,E,E.P.PU,DU GRAND CHEMIN               ,2432 RUE DU GRAND CHEMIN        ,LA GORGUE                 ,0119,P0002,DUNKERQUE-BAILLEUL            ,           
         49,   ,100,E,E.P.PU,PASTEUR                       ,2 RUE DE VERDUN                 ,GRUSON                    ,0119,P0002,LILLE3-RONCHIN                ,           
         50,   1.00,100,E,E.P.PU,DE CATAINE                    ,41 RUE HENRI BARBUSSE           ,HASNON                    ,0119,P0002,VALENCIENNES-SAINT AMAND      ,           
         51,   ,100,E,E.P.PU,LA SENSEE NIVEAU 1 (RPI 22)   ,13 RUE DU GENERAL DE GAULLE     ,HEM LENGLET               ,0119,P0002,CAMBRAI-CENTRE                ,           
         52,   ,100,E,E.P.PU,JEAN-LOUIS DUFOUR             ,4 RUE DE L'EGLISE               ,LESDAIN                   ,0119,P0002,CAMBRAI-SUD                   ,           
         53,   1.00,100,E,E.E.PU,                              ,LA PLACE                        ,LIMONT FONTAINE           ,0119,P0002,AVESNES AULNOYE               ,           
         54,   ,100,E,E.P.PU,(RPI 8)                       ,10 RUE HAUTE                    ,MAIRIEUX                  ,0119,P0002,AVESNES-MAUBEUGE              ,           
         55,   ,100,E,E.P.PU,                              ,3 RUE D'HONNECHY                ,MAUROIS                   ,0119,P0002,CAMBRAI-SUD                   ,           
         56,   ,100,E,E.P.PU,DU BOURG                      ,205 ROUTE DE CASSEL             ,MERCKEGHEM                ,0119,P0002,DUNKERQUE-WORMHOUT            ,           
         57,   ,100,E,E.P.PU,LA LICORNE                    ,84 RUE DE VERDUN                ,MONCEAU ST WAAST          ,0119,P0002,AVESNES AULNOYE               ,           
         58,   ,100,E,E.P.PU,PASTEUR                       ,RUE DES ACACIAS                 ,NEUVILLE SUR ESCAUT       ,0119,P0002,VALENCIENNES DENAIN           ,           
         59,   1.00,100,E,E.P.PU,DU CENTRE                     ,RUE DU CENTRE                   ,MECQUIGNIES               ,0119,P0002,AVESNES-LE QUESNOY            ,           
         60,   ,100,E,E.E.PU,                              ,55 LA PLACE                     ,OBRECHIES                 ,0119,P0002,AVESNES-JEUMONT               ,           
         61,   ,100,E,E.P.PU,                              ,3 BIS RUE DE CAMBRAI            ,RAMILLIES                 ,0119,P0002,CAMBRAI-CENTRE                ,           
         62,   ,100,E,E.E.PU,JEAN VILAR                    ,RUE GEORGES BRASSENS            ,RECQUIGNIES               ,0119,P0002,AVESNES-JEUMONT               ,           
         63,   ,100,E,E.P.PU,LE NIEPPE                     ,6 RUE DE CLAIRMARAIS            ,RENESCURE                 ,0119,P0002,DUNKERQUE-HAZEBROUCK          ,           
         64,   1.00,100,E,E.P.PU,                              ,9 RUE DE BOHERIES               ,REUMONT                   ,0119,P0002,CAMBRAI-LE CATEAU             ,           
         65,   1.00,100,E,E.E.PU,JACQUES BREL (RPI 4)          ,30 RUE DE L EUROPE              ,OOST CAPPEL               ,0119,P0002,DUNKERQUE-BERGUES             ,           
         66,   ,100,E,E.E.PU,(RPI 6)                       ,RUE MICHEL SAUVAGE              ,RIBECOURT LA TOUR         ,0119,P0002,CAMBRAI-SUD                   ,           
         67,   ,100,E,E.P.PU,CHARLES FERNAND               ,16 RUE DE L EGLISE              ,ST AYBERT                 ,0119,P0002,VALENCIENNES-CONDE            ,           
         68,   ,100,E,E.P.PU,                              ,RUE DU MARECHAL LECLERC         ,ST MARTIN SUR ECAILLON    ,0119,P0002,CAMBRAI-LE CATEAU             ,           
         69,   ,100,E,E.E.PU,(RPI 16)                      ,2 CHEMIN DES ECOLES             ,TAISNIERES EN THIERACHE   ,0119,P0002,AVESNES AULNOYE               ,           
         70,   ,100,E,E.P.PU,BERNARD HINAULT               ,274 RUE EMILE D HERBOMEZ        ,TILLOY LEZ MARCHIENNES    ,0119,P0002,DOUAI-RIEULAY                 ,           
         71,   ,100,E,E.E.PU,                              ,65 RUE JEAN BAPTISTE LEBAS      ,TILLOY LEZ CAMBRAI        ,0119,P0002,CAMBRAI-CENTRE                ,           
         72,   ,100,E,E.P.PU,CENTRE NIVEAU 1 (RPI 1)       ,1 RUE JULES FERRY               ,VILLERS PLOUICH           ,0119,P0002,CAMBRAI-SUD                   ,           
         73,   1.00,100,E,E.P.PU,                              ,RUE NICOLAS DESPRET             ,WALLERS-EN-FAGNE          ,0119,P0002,AVESNES-FOURMIES              ,           
         74,   ,100,E,E.P.PU,LA LIBAUDE                    ,49 RUE THEODORE BRASME          ,WICRES                    ,0119,P0002,LILLE2-ANNOEULLIN             ,           
         75,   ,100,E,E.P.PU,JACQUES BREL                  ,39 RUE DE L'EGLISE              ,HERRIN                    ,0119,P0002,LILLE3-SECLIN                 ,           
         76,   ,100,E,E.P.PU,(RPI 12)                      ,GRANDE RUE                      ,SEPMERIES                 ,0119,P0002,AVESNES-LE QUESNOY            ,           
         77,   ,100,E,E.P.PU,                              ,71 RUE RAYMOND VERVA            ,ST GEORGES SUR L AA       ,0119,P0002,DUNKERQUE-WORMHOUT            ,           
         78,   ,100,E,E.E.PU,CLAUDE BOUQUIAUX (RPI 8)      ,19 RUE DE L'EGLISE              ,ELESMES                   ,0119,P0003,AVESNES-MAUBEUGE              ,           
         79,   ,100,E,E.P.PU,                              ,22 GRAND RUE                    ,ABANCOURT                 ,0119,P0003,CAMBRAI-CENTRE                ,           
         80,   ,100,E,E.P.PU,VICTOR HUGO                   ,1 RUE MARCEL SEMBAT             ,RAIMBEAUCOURT             ,0119,P0003,DOUAI-CUINCY                  ,           
         81,   ,100,E,E.E.PU,CHARLIE CHAPLIN               ,DREVE DURIEZ                    ,COUDEKERQUE BRANCHE       ,0119,P0003,DUNKERQUE-BERGUES             ,           
         82,   ,100,E,E.E.PU,MAURICE MILLON                ,5 RUE GABRIEL PERI              ,COUDEKERQUE BRANCHE       ,0119,P0003,DUNKERQUE-BERGUES             ,           
         83,   ,100,E,E.P.PU,PIETER BRUEGHEL               ,RUE DE LA SERPENTINE            ,BAILLEUL                  ,0119,P0003,DUNKERQUE-BAILLEUL            ,           
         84,   1.00,100,E,E.P.PU,JEAN DE LA FONTAINE (RPI 4)   ,57 RUE PRINCIPALE               ,BAMBECQUE                 ,0119,P0003,DUNKERQUE-BERGUES             ,1 POSTE BLOQUE STAGIAIRE
         85,   ,100,E,E.P.PU,                              ,29 RUE DE MARQUETTE             ,BANTIGNY                  ,0119,P0003,CAMBRAI-CENTRE                ,           
         86,   ,100,E,E.P.PU,DU TULIPIER                   ,6 RUE DE FOURNES                ,BEAUCAMPS LIGNY           ,0119,P0003,LILLE2-LOOS                   ,           
         87,   1.00,100,E,E.P.PU,(RPI 24)                      ,1 ET 3 RUE JOSEPH DEJARDIN      ,BEAUMONT EN CAMBRESIS     ,0119,P0003,CAMBRAI-SUD                   ,           
         88,   ,100,E,E.P.PU,                              ,RUE DE L ARBRE                  ,BEVILLERS                 ,0119,P0003,CAMBRAI-SUD                   ,           
         89,   ,100,E,E.P.PU,RENE DELHAY                   ,ROUTE DE SEC BOIS               ,BORRE                     ,0119,P0003,DUNKERQUE-HAZEBROUCK          ,           
         90,   ,100,E,E.P.PU,PIERRE PERRET                 ,RUE DE L EGLISE                 ,BOUSSIERES SUR SAMBRE     ,0119,P0003,AVESNES AULNOYE               ,           
         91,   ,100,E,E.E.PU,LEONARD DE VINCI              ,101 CHAUSSEE BRUNEHAUT          ,BOUVINES                  ,0119,P0003,LILLE3-RONCHIN                ,           
         92,   ,100,E,E.P.PU,(RPI 18)                      ,78 GRAND RUE                    ,CANTAING SUR ESCAUT       ,0119,P0003,CAMBRAI-CENTRE                ,           
         93,   ,100,E,E.P.PU,DES CHATAIGNIERS              ,36 RUE PAUL VAILLANT COUTURIER  ,CATTENIERES               ,0119,P0003,CAMBRAI-CENTRE                ,           
         94,   1.00,100,E,E.P.PU,JEAN MACE                     ,1 R JEAN MACE                   ,CAULLERY                  ,0119,P0003,CAMBRAI-SUD                   ,           
         95,   ,100,E,E.P.PU,                              ,4 RUE THEOPHILE RISBOURG        ,CAUROIR                   ,0119,P0003,CAMBRAI-CENTRE                ,           
         96,   ,100,E,E.P.PU,LES COLIBRIS                  ,6 RUE DE LA MAIRIE              ,CHEMY                     ,0119,P0003,LILLE3-SECLIN                 ,           
         97,   ,100,E,E.P.PU,                              ,1 RUE D'ESPINOY                 ,CLAIRFAYTS                ,0119,P0003,AVESNES-JEUMONT               ,           
         98,   ,100,E,E.P.PU,                              ,1 PETITE RUE                    ,COBRIEUX                  ,0119,P0003,LILLE3-RONCHIN                ,           
         99,   ,100,E,E.P.PU,LES COQUELICOTS               ,4 RUE DES FRERES BULKAEN        ,COMINES                   ,0119,P0003,LILLE2-LOMME                  ,           
        100,   ,100,E,E.E.PU,NIVEAU 2                      ,3 PLACE DE L EUROPE             ,COLLERET                  ,0119,P0003,AVESNES-JEUMONT               ,           
        101,   ,100,E,E.P.PU,                              ,RUE SAINT MARTIN                ,CREVECOEUR SUR L ESCAUT   ,0119,P0003,CAMBRAI-SUD                   ,           
        102,   ,100,E,E.P.PU,MARCEL AYME                   ,8 MEUNINCK STRAETE              ,CROCHTE                   ,0119,P0003,DUNKERQUE-BERGUES             ,           
        103,   ,100,E,E.P.PU,LES DEUX CHATEAUX             ,RUE DU CHATEAU                  ,EBBLINGHEM                ,0119,P0003,DUNKERQUE-HAZEBROUCK          ,           
        104,   ,100,E,E.P.PU,                              ,RUE DE L'EGLISE                 ,ELINCOURT                 ,0119,P0003,CAMBRAI-SUD                   ,           
        105,   ,100,E,E.P.PU,LE PETIT PRINCE               ,53 RUE DE WYLDER                ,OUDEZEELE                 ,0119,P0003,DUNKERQUE-HAZEBROUCK          ,           
        106,   ,100,E,E.P.PU,LOUISE THULIEZ                ,34 RUE DU VILLAGE               ,PREUX AU BOIS             ,0119,P0003,AVESNES-LE QUESNOY            ,           
        107,   ,100,E,E.P.PU,GHISLAIN HENNIART             ,116 RUE DE L EGLISE             ,ERQUINGHEM LE SEC         ,0119,P0003,LILLE2-LOOS                   ,           
        108,   ,100,E,E.P.PU,JEAN-MARIE FOSSE              ,PLACE DES ANCIENS COMBATTANTS   ,ESCARMAIN                 ,0119,P0003,CAMBRAI-LE CATEAU             ,           
        109,   ,100,E,E.P.PU,                              ,9 RUE DE L'EGLISE               ,ESNES                     ,0119,P0003,CAMBRAI-SUD                   ,           
        110,   ,100,E,E.P.PU,DU ROND POINT                 ,RUE VLADIMIR LENINE             ,FENAIN                    ,0119,P0003,DOUAI-RIEULAY                 ,           
        111,   ,100,E,E.P.PU,                              ,PLACE DE LA MAIRIE              ,FLOYON                    ,0119,P0003,AVESNES-FOURMIES              ,           
        112,   ,100,E,E.P.PU,                              ,49 RUE D'AUBENCHEUL             ,FRESSIES                  ,0119,P0003,CAMBRAI-CENTRE                ,           
        113,   ,100,E,E.P.PU,                              ,12 RUE DE LA VICTOIRE           ,GHISSIGNIES               ,0119,P0003,AVESNES-LE QUESNOY            ,           
        114,   ,100,E,E.P.PU,                              ,1 LA PLACE                      ,GRAND FAYT                ,0119,P0003,AVESNES-FOURMIES              ,           
        115,   1.00,100,E,E.P.PU,                              ,46 RUE ANDRE HALLE              ,HAMEL                     ,0119,P0003,DOUAI-CANTIN                  ,           
        116,   ,100,E,E.P.PU,CELESTIN FREINET              ,18 RUE DU BOIS                  ,HARGNIES                  ,0119,P0003,AVESNES-LE QUESNOY            ,           
        117,   ,100,E,E.P.PU,PAUL ET MARCELLE FRANCOIS     ,6 RUE FERNAND PELLOUTIER        ,HASNON                    ,0119,P0003,VALENCIENNES-SAINT AMAND      ,           
        118,   ,100,E,E.P.PU,                              ,2 GRAND PLACE                   ,HONNECHY                  ,0119,P0003,CAMBRAI-SUD                   ,           
        119,   ,100,E,E.P.PU,SUZANNE LANOY                 ,RUE D ARLES                     ,HORNAING                  ,0119,P0003,DOUAI-RIEULAY                 ,           
        120,   ,100,E,E.P.PU,(RPI 4)                       ,CONTOUR DE L EGLISE             ,HOUTKERQUE                ,0119,P0003,DUNKERQUE-BERGUES             ,           
        121,   ,100,E,E.P.PU,                              ,1 BIS RUE DU MARECHAL FOCH      ,LIESSIES                  ,0119,P0003,AVESNES-JEUMONT               ,           
        122,   ,100,E,E.P.PU,HENRI MATISSE                 ,90 PETITE RUE                   ,LOFFRE                    ,0119,P0003,DOUAI-CANTIN                  ,           
        123,   ,100,E,E.P.PU,DU TILLEUL                    ,130 CONTOUR DE L'EGLISE         ,LYNDE                     ,0119,P0003,DUNKERQUE-HAZEBROUCK          ,           
        124,   ,100,E,E.P.PU,ALEXIS DELANNOY               ,15 RUE DE L'EGLISE              ,LE MAISNIL                ,0119,P0003,LILLE2-LOOS                   ,           
        125,   ,100,E,E.P.PU,LOUIS BLERIOT                 ,PLACE DE LA VICTOIRE            ,MALINCOURT                ,0119,P0003,CAMBRAI-SUD                   ,           
        126,   ,100,E,E.P.PU,                              ,14 RUE DE TAISNIERES            ,MARBAIX                   ,0119,P0003,AVESNES-FOURMIES              ,           
        127,   ,100,E,E.P.PU,LOUIS PASTEUR                 ,42 RUE MAGINOT                  ,MARCQ EN OSTREVENT        ,0119,P0003,DOUAI-CANTIN                  ,           
        128,   1.00,100,E,E.P.PU,                              ,84 GRANDE RUE                   ,MAZINGHIEN                ,0119,P0003,CAMBRAI-LE CATEAU             ,           
        129,   ,100,E,E.P.PU,                              ,1 RUE ROGER SALENGRO            ,MILLONFOSSE               ,0119,P0003,VALENCIENNES-SAINT AMAND      ,           
        130,   ,100,E,E.P.PU,                              ,10 BIS RUE DE LA MAIRIE         ,MONTAY                    ,0119,P0003,CAMBRAI-LE CATEAU             ,           
        131,   ,100,E,E.P.PU,LES PETITS PRES VERTS         ,2 RUE VOLTAIRE                  ,MONTIGNY EN CAMBRESIS     ,0119,P0003,CAMBRAI-SUD                   ,           
        132,   ,100,E,E.P.PU,LES DEUX SAULES               ,42 CHAUSSEE BRUNEHAUT           ,NAVES                     ,0119,P0003,CAMBRAI-LE CATEAU             ,           
        133,   ,100,E,E.P.PU,LOUIS ET FERNANDE LEROY       ,1 RUE DE LA MAIRIE              ,NIEURLET                  ,0119,P0003,DUNKERQUE-WORMHOUT            ,           
        134,   ,100,E,E.P.PU,HENRI MATISSE                 ,8 RUE DES ECOLES                ,NOYELLES SUR ESCAUT       ,0119,P0003,CAMBRAI-SUD                   ,           
        135,   ,100,E,E.P.PU,CHARLES PERRAULT              ,23 RUE DE DENAIN                ,OISY                      ,0119,P0003,VALENCIENNES ANZIN            ,           
        136,   ,100,E,E.P.PU,JULES FERRY                   ,12 RUE DE L EGLISE              ,RAILLENCOURT STE OLLE     ,0119,P0003,CAMBRAI-CENTRE                ,           
        137,   ,100,E,E.P.PU,                              ,3 GRAND'RUE                     ,REJET DE BEAULIEU         ,0119,P0003,CAMBRAI-LE CATEAU             ,           
        138,   ,100,E,E.P.PU,                              ,PLACE EMILE POULAIN             ,ROUCOURT                  ,0119,P0003,DOUAI-CANTIN                  ,           
        139,   ,100,E,E.P.PU,                              ,139 RUE ALEXANDRE DUBOIS        ,RUMEGIES                  ,0119,P0003,VALENCIENNES-SAINT AMAND      ,           
        140,   ,100,E,E.E.PU,                              ,RUE DES BOUCHERS                ,ST HILAIRE SUR HELPE      ,0119,P0003,AVESNES-FOURMIES              ,           
        141,   ,100,E,E.P.PU,JULES SAGARY                  ,92 RUE DE BERTHEN               ,ST JANS CAPPEL            ,0119,P0003,DUNKERQUE-BAILLEUL            ,           
        142,   ,100,E,E.P.PU,                              ,5 RUE DE LA MAIRIE              ,ST MOMELIN                ,0119,P0003,DUNKERQUE-WORMHOUT            ,           
        143,   ,100,E,E.E.PU,                              ,29 ROUTE DE SAINT AUBIN         ,ST REMY CHAUSSEE          ,0119,P0003,AVESNES AULNOYE               ,           
        144,   ,100,E,E.P.PU,LOUISE THULIEZ (RPI 25)       ,ROUTE NATIONALE                 ,SAINT WAAST LA VALLEE     ,0119,P0003,AVESNES-LE QUESNOY            ,           
        145,   ,100,E,E.P.PU,                              ,51 RUE LEON COURTOIS            ,SERCUS                    ,0119,P0003,DUNKERQUE-HAZEBROUCK          ,           
        146,   ,100,E,E.P.PU,                              ,2 PLACE JEAN RUYSSEN            ,STEENBECQUE               ,0119,P0003,DUNKERQUE-HAZEBROUCK          ,           
        147,   ,100,E,E.P.PU,PIERRE DEWAELE                ,IMPASSE DE L'ECOLE              ,STEENE                    ,0119,P0003,DUNKERQUE-BERGUES             ,           
        148,   ,100,E,E.P.PU,DU TILLEUL                    ,2 RUE DE L'EPINETTE             ,STEENWERCK                ,0119,P0003,DUNKERQUE-BAILLEUL            ,           
        149,   ,100,E,E.P.PU,ANNE FRANK                    ,358 PLACE SAINT MARTIN          ,TERDEGHEM                 ,0119,P0003,DUNKERQUE-HAZEBROUCK          ,           
        150,   ,100,E,E.P.PU,ANDRE WILLIART                ,3 RUE DE LA GARE                ,THIENNES                  ,0119,P0003,DUNKERQUE-HAZEBROUCK          ,           
        151,   ,100,E,E.P.PU,LA CLAIRE FONTAINE            ,16 RUE DES CUTIVIERS            ,THUN ST MARTIN            ,0119,P0003,CAMBRAI-LE CATEAU             ,           
        152,   ,100,E,E.E.PU,GEORGES HUISMAN NIVEAU 2      ,13 AVENUE DU SERGENT CAIRNS     ,VALENCIENNES              ,0119,P0003,VALENCIENNES-CENTRE           ,           
        153,   ,100,E,E.P.PU,                              ,198 RUE DU CALVAIRE             ,VERTAIN                   ,0119,P0003,CAMBRAI-LE CATEAU             ,           
        154,   1.00,100,E,E.P.PU,DU DROOGHOUT                  ,10 R VIEUX BERQUIN HM SEC BOIS  ,VIEUX BERQUIN             ,0119,P0003,DUNKERQUE-BAILLEUL            ,           
        155,   ,100,E,E.P.PU,PIERRE DEVIGNE                ,RUE DE MAUBEUGE                 ,VIEUX MESNIL              ,0119,P0003,AVESNES AULNOYE               ,           
        156,   ,100,E,E.P.PU,                              ,PLACE DU MONT TILLEUL           ,VILLERS AU TERTRE         ,0119,P0003,DOUAI-CANTIN                  ,           
        157,   ,100,E,E.P.PU,                              ,PLACE DU 8 MAI 1945             ,VILLERS GUISLAIN          ,0119,P0003,CAMBRAI-SUD                   ,           
        158,   ,100,E,E.P.PU,LA FONTAINE                   ,2 RUE DU DOCTEUR CALMETTE       ,WASNES AU BAC             ,0119,P0003,VALENCIENNES-ESCAUDAIN        ,           
        159,   ,100,E,E.P.PU,MAXENCE VAN DER MEERSCH       ,756 RUE GRANDE                  ,WARLAING                  ,0119,P0003,DOUAI-RIEULAY                 ,           
        160,   ,100,E,E.P.PU,                              ,210 LA PLACE                    ,ZUYTPEENE                 ,0119,P0003,DUNKERQUE-WORMHOUT            ,           
        161,   ,100,E,E.P.PU,                              ,5 RUE LUCIEN GILLARD            ,GOGNIES CHAUSSEE          ,0119,P0003,AVESNES-LE QUESNOY            ,           
        162,   ,100,E,E.P.PU,VILLARD DE HONNECOURT         ,3 RUE DE L'EGLISE               ,HONNECOURT SUR ESCAUT     ,0119,P0003,CAMBRAI-SUD                   ,           
        163,   ,100,E,E.P.PU,                              ,60BIS ROUTE NATIONALE           ,BEUGNIES                  ,0119,P0003,AVESNES-JEUMONT               ,           
        164,   ,100,E,E.P.PU,                              ,13BIS RUE DE LANDRECIES         ,FONTAINE AU BOIS          ,0119,P0003,AVESNES AULNOYE               ,           
        165,   ,100,E,E.P.PU,                              ,24 RUE LAURENT NIOGRET          ,HON HERGIES               ,0119,P0003,AVESNES-LE QUESNOY            ,           
        166,   ,100,E,E.P.PU,CEZANNE                       ,GRAND RUE                       ,MONCHECOURT               ,0119,P0003,DOUAI-CANTIN                  ,           
