N°POSTE,Nb Postes Vacants,Quotité,TYPE,SIGLE,NOM,ADRESSE,COMMUNE,SUPPORT,DISCIPLINE,CIRCONSCRIPTION,OBSERVATIONS (POSTE BLOQUE OU JUMELAGE DU POSTE)
       5861,   1.00,100,E,E.E.PU,JEAN JAURES                   ,PLACE JEAN JAURES               ,SIN LE NOBLE              ,ULEC,G0176,DOUAI-WAZIERS                 ,           
       5862,   1.00,100,E,E.E.PU,SUZANNE LANOY                 ,RUE ANNE GODEAU                 ,SIN LE NOBLE              ,ULEC,G0176,DOUAI-WAZIERS                 ,           
       5863,   ,100,E,E.E.PU,JEAN DE LA FONTAINE           ,RUE DE BAILLEUL                 ,STEENVOORDE               ,ULEC,G0176,DUNKERQUE-HAZEBROUCK          ,           
       5864,   ,100,E,E.P.PU,GROUPE SCOLAIRE PASTEUR       ,CHEMIN DE LA CHAPELLE           ,TEMPLEMARS                ,ULEC,G0176,LILLE3-WATTIGNIES             ,           
       5865,   1.00,100,E,E.E.PU,PAUL BERT                     ,34 RUE EMILE ZOLA               ,THUMERIES                 ,ULEC,G0176,LILLE3-SECLIN                 ,           
       5866,   1.00,100,E,E.E.PU,PIERRE BROSSOLETTE            ,2 RUE ANATOLE FRANCE            ,TOURCOING                 ,ULEC,G0176,TOURCOING-OUEST               ,           
       5867,   ,100,E,E.E.PU,MICHELET                      ,34 RUE PASTEUR                  ,TOURCOING                 ,ULEC,G0176,TOURCOING-EST                 ,           
       5868,   ,100,E,E.E.PU,JEAN MACE                     ,62 RUE DU FLOCON                ,TOURCOING                 ,ULEC,G0176,TOURCOING-OUEST               ,           
       5869,   ,100,E,E.E.PU,PASTEUR                       ,17 RUE DU VIROLOIS              ,TOURCOING                 ,ULEC,G0176,TOURCOING-EST                 ,           
       5870,   1.00,100,E,E.E.PU,RENE LECOCQ                   ,107 RUE CLAUDE BERNARD          ,TOURCOING                 ,ULEC,G0176,TOURCOING-OUEST               ,           
       5871,   1.00,100,E,E.E.PU,JULES FERRY NIVEAU 1          ,6 RUE DE LA POTENTE             ,TOURCOING                 ,ULEC,G0176,TOURCOING-EST                 ,           
       5872,   ,100,E,E.E.PU,LAVOISIER                     ,9 RUE GUY MOCQUET               ,TOURCOING                 ,ULEC,G0176,TOURCOING-EST                 ,           
       5873,   ,100,E,E.E.PU,RENE BRY                      ,4 RUE DU MARECHAL FOCH          ,TRELON                    ,ULEC,G0176,AVESNES-FOURMIES              ,           
       5874,   1.00,100,E,E.E.PU,LUCIE AUBRAC                  ,PLACE DE LA RESISTANCE          ,TRITH ST LEGER            ,ULEC,G0176,VALENCIENNES-SAINT SAULVE     ,           
       5875,   1.00,100,E,E.P.PU,JEAN MINEUR                   ,232 AVENUE DESANDROUINS         ,VALENCIENNES              ,ULEC,G0176,VALENCIENNES-CENTRE           ,           
       5876,   ,100,E,E.E.PU,CARIOT                        ,5 RUE DU CARIOT                 ,VALENCIENNES              ,ULEC,G0176,VALENCIENNES-CENTRE           ,           
       5877,   ,100,E,E.E.PU,LAVOISIER                     ,7 RUE LAVOISIER                 ,WATTRELOS                 ,ULEC,G0176,ROUBAIX-WATTRELOS             ,           
       5878,   ,100,E,E.P.PU,GROUPE SCOLAIRE CONDORCET     ,20 RUE DES PATRIOTES            ,WATTRELOS                 ,ULEC,G0176,ROUBAIX-WATTRELOS             ,           
       5879,   1.00,100,E,E.E.PU,LEO LAGRANGE                  ,25 RUE LEO LAGRANGE             ,WATTRELOS                 ,ULEC,G0176,ROUBAIX-WATTRELOS             ,           
       5880,   ,100,E,E.E.PU,LEON GAMBETTA                 ,8 RUE LEON GAMBETTA             ,WAZIERS                   ,ULEC,G0176,DOUAI-WAZIERS                 ,           
       5881,   1.00,100,E,E.E.PU,GUIRONNET                     ,80 RUE PASTEUR                  ,WAZIERS                   ,ULEC,G0176,DOUAI-WAZIERS                 ,           
       5882,   ,100,E,E.P.PU,DE LALLOEU                    ,27 RUE JEAN MERMOZ              ,LA GORGUE                 ,ULEC,G0176,DUNKERQUE-BAILLEUL            ,           
       5883,   ,100,E,E.E.PU,TRYSTRAM                      ,1215 RUE DU BANC VERT           ,DUNKERQUE                 ,ULEC,G0176,DUNKERQUE-SAINT-POL           ,           
       5884,   ,100,E,E.E.PU,EMILE ZOLA                    ,32 RUE D'AUBRY                  ,VALENCIENNES              ,ULEC,G0176,VALENCIENNES-CENTRE           ,           
       5885,   ,100,E,E.E.PU,CENTRE                        ,42R PIERRE MATHIEU              ,BAVAY                     ,ULEC,G0176,AVESNES-LE QUESNOY            ,           
       5886,   ,100,E,E.E.PU,CHARLES PEGUY                 ,AVENUE DE LATTRE DE TASSIGNY    ,MARCQ EN BAROEUL          ,ULEC,G0176,LILLE1-MARCQ EN BAROEUL       ,           
       5887,   ,100,E,E.E.PU,LA FONTAINE                   ,BOULEVARD ALBERT 1ER            ,VILLENEUVE D ASCQ         ,ULEC,G0176,LILLE3-VILLENEUVE D'ASCQ NORD ,           
       5888,   ,100,E,E.E.PU,ROGER SALENGRO                ,AVENUE DE BEAUPRE               ,HAUBOURDIN                ,ULEC,G0176,LILLE2-LOOS                   ,           
       5889,   1.00,100,E,E.E.PU,ALBERT DOUAY                  ,RUE GUSTAVE CHARPENTIER         ,BOUCHAIN                  ,ULEC,G0176,VALENCIENNES-ESCAUDAIN        ,1 POSTE BLOQUE STAGIAIRE
       5890,   ,100,E,E.E.PU,MAXIME QUEVY                  ,BOULEVARD DRION                 ,ANICHE                    ,ULEC,G0176,DOUAI-CANTIN                  ,           
       5891,   1.00,100,E,E.P.PU,GPE SCOLAIRE JOSEPH LEPRETRE  ,RUE DE L'ECOLE                  ,BIERNE                    ,ULEC,G0176,DUNKERQUE-BERGUES             ,           
       5892,   ,100,E,E.P.PU,CITE VUILLEMIN                ,64 ROUTE NATIONALE              ,ECAILLON                  ,ULEC,G0176,DOUAI-CANTIN                  ,           
       5893,   1.00,100,E,E.E.PU,BERTHELOT-JULES VERNE         ,6 RUE BOHIN                     ,LILLE                     ,ULEC,G0176,LILLE 1 - HELLEMMES           ,           
       5894,   1.00,100,E,E.E.PU,LALO-CLEMENT                  ,3 RUE DES DEPORTES              ,LILLE                     ,ULEC,G0176,LILLE 1 - CENTRE              ,           
       5895,   ,100,E,E.E.PU,BORIS VIAN                    ,RUE LAMARTINE                   ,VILLENEUVE D ASCQ         ,ULEC,G0176,LILLE3-VILLENEUVE D'ASCQ SUD  ,           
       5896,   ,100,E,E.E.PU,ARAGO-JACQUART                ,133 BOULEVARD VICTOR HUGO       ,LILLE                     ,ULEC,G0176,LILLE 1 - NORD                ,           
       5897,   ,100,E,E.E.PU,BASUYAUX                      ,21 RUE GAMBETTA                 ,ANICHE                    ,ULEC,G0176,DOUAI-CANTIN                  ,           
       5898,   1.00,100,E,E.P.PU,CHARLES PERRAULT              ,14 RUE DU 8 MAI 1945            ,MORBECQUE                 ,ULEC,G0176,DUNKERQUE-HAZEBROUCK          ,           
       5899,   ,100,E,E.E.PU,VICTOR HUGO                   ,18 RUE SAINT PIERRE             ,MOUVAUX                   ,ULEC,G0176,ROUBAIX-WASQUEHAL             ,           
       5900,   1.00,100,E,E.P.PU,JULES GUESDE                  ,92 RUE LEON MARLOT              ,ROUBAIX                   ,ULEC,G0176,ROUBAIX-EST                   ,           
       5901,   ,100,E,E.E.PU,ROGER SALENGRO                ,3 PLACE ALBERT THOMAS           ,OSTRICOURT                ,ULEC,G0176,LILLE3-SECLIN                 ,           
       5902,   1.00,100,E,E.P.PU,ROGER SALENGRO                ,55 AVENUE ROGER SALENGRO        ,ARMENTIERES               ,ULEC,G0176,LILLE2-ARMENTIERES            ,           
       5903,   1.00,100,E,E.E.PU,JOLIOT-CURIE                  ,42 PASSAGE LARGILLIERE          ,AVESNES LES AUBERT        ,ULEC,G0176,CAMBRAI-LE CATEAU             ,           
       5904,   ,100,E,E.P.PU,PONT DE LA DEULE              ,21 RUE MARCEAU MARTIN           ,FLERS EN ESCREBIEUX       ,ULEC,G0176,DOUAI-CUINCY                  ,           
       5905,   ,100,E,E.E.PU,JEAN MACE                     ,217 AVENUE JEAN BART            ,HAZEBROUCK                ,ULEC,G0176,DUNKERQUE-HAZEBROUCK          ,           
       5906,   ,100,E,E.E.PU,DU BOURG                      ,5 RUE ANATOLE MUSY              ,HOUPLINES                 ,ULEC,G0176,LILLE2-ARMENTIERES            ,           
       5907,   1.00,100,E,E.E.PU,JEAN MABUSE                   ,RUE D'ARTOIS                    ,MAUBEUGE                  ,ULEC,G0176,AVESNES-MAUBEUGE              ,           
       5908,   ,100,E,E.E.PU,JEAN JAURES                   ,32 RUE GITTINGER                ,ST POL SUR MER            ,ULEC,G0176,DUNKERQUE-SAINT-POL           ,           
       5909,   ,100,E,E.E.PU,MARCEL CABY                   ,550 RUE VICTOR HUGO             ,VIEUX CONDE               ,ULEC,G0176,VALENCIENNES-CONDE            ,           
